# 03 TM-domain mean |ΔRRCS| at each TM-TM interface for par1_human.
# Each cell is mean(|delta_rrcs|) over all contact pairs whose endpoints lie in segments (TMi, TMj). Symmetric. Cells with no contact pairs are 0.
# Generated by build_par_dossier_csvs.py on 2026-05-04.
,TM1,TM2,TM3,TM4,TM5,TM6,TM7
TM1,0.2033712215056005,2.0583612117423304,0.0,0.0,0.0,0.0,1.7510602739382939
TM2,2.0583612117423304,0.0,1.8532349623152502,0.0,0.0,0.0,5.6303696580027776
TM3,0.0,1.8532349623152502,1.9945838231680177,0.0,6.630018361901586,0.0,2.707877521283264
TM4,0.0,0.0,0.0,0.0,1.0531078342885287,0.0,0.0
TM5,0.0,0.0,6.630018361901586,1.0531078342885287,6.0285983591294,2.647338591270014,0.0
TM6,0.0,0.0,0.0,0.0,2.647338591270014,0.0,3.4375988210094364
TM7,1.7510602739382939,5.6303696580027776,2.707877521283264,0.0,0.0,3.4375988210094364,3.318534472028983
